comment_id,author,text,likes,replies,published_at,is_reply
UgyMWHuHtAQdG51ydjd4AaABAg,@bangsis883,"Kalau spt ini masih kena tipu, berarti yg ditipu org tolol, bodoh, otak tdk dipakai unt berfikir cerdas,.. tdk usah mengeluh, itu akibat kebodohan sendiri..",0,0,2025-08-14T00:48:56Z,False
Ugw0fKGi_bLcRK9cEMt4AaABAg,@yasacetaabditya9280,Langkah selanjutnya apa bang Iqbal. Apakah saya harus melapor juga ke pihak polisi atau gimana? Yang saya khawatirkan adalah data saya yang saya kasih. Mohon penjelasannya dari pengalaman bang Iqbal. Sekian terima kasih,1,2,2025-08-05T15:13:10Z,False
Ugw0fKGi_bLcRK9cEMt4AaABAg.ALS5VPjKt25ALS7GtnsylG,@IqbalQoreshi,"Lapor saja ke polisi, jadi suatu waktu jika ada Penyalahgunaan identitas atas nama mas, setidaknya ada bukti pelaporan kalo data kita dicuri",0,0,2025-08-05T15:28:40Z,True
Ugw0fKGi_bLcRK9cEMt4AaABAg.ALS5VPjKt25ALS99lUP_PS,@yasacetaabditya9280,​@IqbalQoreshibaik terima kasih bang. Saya coba meskipun kemungkinan kecil harapannya untuk ditindaklanjuti😅,0,0,2025-08-05T15:45:10Z,True
Ugy1EnNyVG0pgMongJt4AaABAg,@yasacetaabditya9280,"Terima kasih bang informasinya. Saya juga kena kasus serupa seperti ini kemarin. Yang awalnya (mengaku) dari pihak BPJS yang menelpon. Akan tetapi nomor dipakai yang awalnya +81 yang saya kira itu adalah nomor asli dari call center BPJS pusat atau semacamnya.. Didalam telpon tersebut, saya dituduh mengambil obat golongan G di tiga RS berbeda yang ada di bandung. Saya panik jadi saya lanjutkan dan saya mau di urus lalu di sambungkan dengan pihak kepolisian. Setelah itu beralih membagikan kontak WA saya dan yang mengaku polisi tersebut juga membagikan WA nya. Setelah itu kejadiannya sama persis yang ada di video ini yakni surat penangkapan dan surat penyitaan aset dari pengadilan. Jadi saya tf dari semua rekening saya bila ditotalkan 1,7 jt.

Sangat hebat sekali penipuan ini sehingga saya percaya dengan apa yang mereka katakan. Catatan untuk semuanya jangan pernah mengangkat telpon dari nomor yang tidak dikenal karena kemungkinan besar itu penipuan dan dampaknya juga mengerikan menurut saya, saya sudah berhati hati untuk tidak kena penipuan malah saya salah satu orang yang kena penipuan seperti ini. Semoga pembelajaran buat semuanya dan juga saya agar lebih berhati hati lagi.",1,0,2025-08-05T13:54:14Z,False
UgzTOFlmKpe1hb13VaV4AaABAg,@tubelive2782,Terima bang Iqbal informasinya.,0,0,2025-08-04T11:56:19Z,False
UgwZ4bAFrldMmj2hXcl4AaABAg,@riofaturrohman5122,"BISANYA SEBODOH ITU YAA..
😅😅😅",0,0,2025-08-04T00:14:03Z,False
UgwOQVfSlAHJdIhuqH54AaABAg,@arisaputra4444,"Critanya gak masuk akal, ribet bner skenarionya cuma nwt konten",0,0,2025-07-31T05:56:03Z,False
Ugz1Eb0ECUSQowJ12QF4AaABAg,@AnangSujatmiko-eg9xc,"Salahnya lapor ke polisi... 
Sudah tahu polisi itu gimana.. 

Lapor ke damkar saja...",0,0,2025-07-31T05:03:52Z,False
UgyXNvtmPhOQv27NhlB4AaABAg,@Mr.AedilSM,"Berarti lu memang  lagi sial  😅😅😅😅, sudah nyata. Tidak pernah mengirim surat atau paket masih percaya😅😅😅😅",0,0,2025-07-30T08:56:45Z,False
Ugx9kOBI3xvVJnkS4fZ4AaABAg,@susantotjahjadi212,"saya pernah kena tipu,pelakunya ngaku dati polsek bali",0,0,2025-07-24T09:49:05Z,False
UgziFvqBkYmpjHKxHb54AaABAg,@FathanifraAlfarizi-df2yl,"Kalo aku setel di pengaturan tolak otomatis nomor yang tidak di kenal....wkwk😂
  Tohh kalo mmg bnerin penting pasti orang akan beralih ke WA atau ngechat.",0,0,2025-07-20T18:20:53Z,False
UgyTCXJjs7zNJ9PAviB4AaABAg,@handay358,"Sidang itu ilegal, jgn terjebak.",0,0,2025-07-10T12:18:46Z,False
UgxVdPqc9PXtKmI0eHV4AaABAg,@indriyaning2128,Ass WB Harus nya mukanya Jgn di tutup terbuka biar orang biar tahu' biar puas jadi orang Nya punya rasa malu KL punya jd memang Harus terbuka karena biar TDK banyak Yg terjadi kena tipu,0,0,2025-07-07T22:42:37Z,False
UgxX-13FfOxyHRsJCrR4AaABAg,@adityalegawa,"Surat penangkapan tidak akan di perlihatkan ke target, polisi tidak berhak menanyakan apapun jika tidak ada surat perintah.",0,0,2025-07-07T13:13:10Z,False
UgzmezIjAR3vXeEnpBt4AaABAg,@nizkichanel,"gk bkl di urus mlah pusing..aq kmren jg kena 1,2juta..sumphin aja pnipu sekarat.lumpuh ..serahkn sma Allah.",0,0,2025-07-07T05:04:38Z,False
UgzR-zSN2ysUERbzEJV4AaABAg,@TitiTiti-z3t8c,"Saya juga baru kena penipuan dan lebih parahnya dia minta sidik jari, foto ktp, verifikasi wajah akhirnya dataku berhasil diambil,uangku habis 5.900.000, yang saya khawatir itu takutnya data saya disalahgunakan seperti untuk pinjol, saya ke kantor polisi mau buat laporan penipuan alasannya karena takutnya data Saya digunakan untuk pinjol terus polisinya cuma bilang belum kejadiankan kalau sudah terjadi baru lapor 😢😢",0,0,2025-07-02T16:09:22Z,False
UgyC0kLAc-2ePDkroIV4AaABAg,@DjohanUddin,Nama nya penipu memang ahli bicara..sangat meyakinkan..,0,0,2025-06-30T23:31:26Z,False
UgyY2_fAyY4HHTef3Sp4AaABAg,@ekobacharibjatoensuripbach1892,Masak sidang nya online,0,0,2025-06-30T10:15:48Z,False
UgyqkuXpY9KwhcMMRYp4AaABAg,@husnulhotimah2016,"Sama persis, sy jg di tipu 5jt 300rb karena wkt itu di rumah sendiri, diajak ngobrol sampe 1jam lebih, disuruh coba cek ada uang masuk.",0,0,2025-06-30T07:30:49Z,False
UgyT86M5k7Gj7sHtMfx4AaABAg,@dyahmulyani8316,"Subhanalloh,sdh jatuh ketimpa tangga ya mas.",0,0,2025-06-22T06:58:13Z,False
UgxEY14kj4OFWM9f1ip4AaABAg,@jonoharjono2139,Terima kasih edukasinya....,0,0,2025-06-19T07:53:16Z,False
